llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
8536909915,85369099,15,"Conjuntos completos para empalmes o uniones, para cables de energía.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909916,85369099,16,"Ignitores electrónicos sin balastos, para lámparas de descarga.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909917,85369099,17,"Conectores hembra, con o sin dispositivos de anclaje, para inserción de circuitos impresos.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909918,85369099,18,Conectores para empalmes de cables telefónicos.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909919,85369099,19,Contactos sinterizados de aleaciones con metal precioso.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909920,85369099,20,Atenuadores electrónicos de intensidad lumínica (dimmers) de más de 3 kW.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909921,85369099,21,Conectores de agujas.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8536909999,85369099,99,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537100300,85371003,00,Cuadros de mando para máquinas de soldar por resistencia.,Kg,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537100400,85371004,00,"Cuadros de mando o distribución, operados mediante botones (botoneras).",Kg,5.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537100500,85371005,00,"Ensambles con la carcasa exterior o soporte, reconocibles como diseñados para lo comprendido en las partidas 84.21, 84.22, 84.50 y 85.16.",Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537100600,85371006,00,Módulos reconocibles como diseñados exclusivamente para el control de señales de indicación en motores de vehículos automotrices.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537109901,85371099,01,"Cajas de conexión, de derivación, de corte, extremidad u otras cajas análogas.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537109902,85371099,02,Cuadros de mando o distribución para elevadores o ascensores.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8537109999,85371099,99,Los demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
